Ticker,Buy_Day,Sell_Day,Max_Avg_Abnormal_Return
NVDA,0,1,0.035747042
AVGO,-5,1,0.03055622
INTC,1,5,0.024501494
TSLA,-8,4,0.023476939
MLM,-1,0,0.019555575
EW,1,10,0.017782759
AMD,-8,1,0.017649071
CRM,-10,1,0.017213599
CBRE,-4,0,0.016891648
QCOM,1,9,0.016061729
TSM,-4,0,0.016000867
UNH,-7,0,0.015447396
AAPL,-9,1,0.015107625
WYNN,1,2,0.01489844
TPR,-7,0,0.014526227
EL,0,10,0.014440508
PH,-6,0,0.014392206
LIN,-7,0,0.013765228
SPGI,-1,0,0.013695005
WFC,0,1,0.013693481
ABBV,-8,1,0.013065097
GE,1,9,0.012860774
CAT,0,3,0.01187222
META,-5,1,0.011491524
IBM,1,3,0.010943455
MSFT,-7,1,0.010506953
MCD,-1,0,0.010230774
NFLX,6,7,0.009787208
GOOGL,-5,1,0.009753908
MS,-7,0,0.009666169
V,0,1,0.00956995
EMN,1,6,0.009440575
ADBE,1,7,0.00910845
PM,-1,1,0.00903477
COST,1,2,0.008757815
PEP,-1,0,0.008364496
XOM,0,1,0.008349444
CVX,0,6,0.008295758
WMT,-9,0,0.008169947
RTX,1,10,0.00789093
UPS,0,5,0.007882317
PG,-8,0,0.007878326
AMZN,-2,0,0.007794681
AMGN,5,9,0.007567454
AME,-6,0,0.007564106
TMO,-7,0,0.007439098
TXN,-4,10,0.00742875
MA,-2,0,0.007390333
LLY,-6,1,0.00734343
DHR,-6,0,0.007209274
MRK,-10,8,0.006448473
HD,-4,-3,0.006193297
ORCL,-7,-2,0.006137918
ACN,-8,0,0.005853145
JNJ,4,5,0.005846648
JPM,-5,-2,0.005202899
BAC,-6,4,0.005052757
NKE,-7,0,0.004849491
HON,-1,5,0.004411668
KO,6,7,0.003969076
