Ticker,Buy_Day,Sell_Day,Max_Avg_Cumulative_Abnormal_Return
AVGO,-10,10,0.079282371
NVDA,-10,10,0.074334615
AMD,-4,10,0.050582597
MLM,-9,10,0.036995546
TSLA,-2,4,0.034262596
PH,-5,10,0.032867346
META,-10,5,0.026609917
CRM,-9,2,0.026258145
GOOGL,-10,1,0.025949951
CBRE,-10,7,0.025023176
ABBV,-6,10,0.02398242
V,-10,10,0.023973587
TPR,-3,5,0.023096241
TSM,-10,0,0.023083942
AME,-5,10,0.02235757
AAPL,-4,6,0.022289384
UNH,-6,3,0.022036058
MS,-4,7,0.021780119
MSFT,-10,3,0.021576344
AMZN,-8,1,0.021052307
NFLX,-10,1,0.020027758
WFC,1,8,0.019189814
WYNN,-9,2,0.01837166
PM,-10,7,0.017845026
ORCL,-6,6,0.017534476
GE,-9,0,0.01743121
LIN,-3,10,0.017315851
JPM,-10,8,0.01525155
SPGI,-9,7,0.015030536
MA,-10,6,0.013500473
QCOM,2,9,0.013269089
BAC,-8,6,0.012212162
TMO,-3,0,0.012195286
EW,-10,0,0.011878118
LLY,-3,7,0.011759685
PG,-4,3,0.011156605
RTX,-7,10,0.009885066
ADBE,-10,-1,0.009595467
EL,4,10,0.009296641
COST,-4,10,0.009183748
EMN,2,10,0.008813615
NKE,-6,1,0.008805049
CAT,-10,-5,0.008147424
ACN,-7,0,0.007944319
DHR,-5,0,0.007775554
MCD,0,10,0.007485123
HD,-3,9,0.007403033
PEP,0,1,0.007188059
CVX,6,10,0.007051587
WMT,-8,0,0.006173532
AMGN,8,10,0.00599766
XOM,-7,-1,0.005917162
HON,2,9,0.005791492
TXN,-10,-1,0.005660594
INTC,-8,0,0.005507711
JNJ,0,6,0.004900141
KO,-4,0,0.004304588
MRK,8,10,0.004245745
UPS,-9,-8,0.003339528
IBM,-7,-6,0.003187021
