Ticker,NovApr Better (%),NovApr Avg Rtn (15Y),MayOct Avg Rtn (15Y),NovApr Cum Rtn (15Y),MayOct Cum Rtn (15Y),NovApr Vol (15Y),MayOct Vol (15Y)
CBRE,84.21%,19.79%,0.60%,932.00%,-11.80%,26.89%,17.36%
WYNN,80.95%,21.90%,-6.79%,913.89%,-78.11%,34.76%,23.55%
EL,78.57%,19.21%,2.88%,1044.71%,9.20%,19.61%,20.82%
EW,79.17%,16.61%,7.06%,715.02%,101.47%,18.67%,22.36%
TPR,78.26%,16.54%,-3.06%,441.09%,-54.83%,34.22%,21.94%
EMN,76.67%,13.94%,1.97%,488.92%,2.39%,18.21%,20.13%
MLM,76.67%,13.25%,2.54%,439.60%,24.46%,16.96%,15.83%
AME,76.92%,12.72%,5.76%,425.30%,114.79%,15.49%,11.01%
PH,77.27%,14.00%,6.67%,478.12%,128.77%,19.63%,15.43%
RTX,75.81%,12.61%,-0.18%,403.48%,-11.31%,16.60%,11.64%
