Event,Date,Icon
New Years Day,01/01/2006,🕛
Easter Day,04/16/2006,🥚
4th July,07/04/2006,🎆
US Labor Day,09/04/2006,💪
Christmas Day,12/25/2006,🎄
New Years Day,01/01/2007,🕛
Easter Day,04/08/2007,🥚
4th July,07/04/2007,🎆
US Labor Day,09/03/2007,💪
Christmas Day,12/25/2007,🎄
New Years Day,01/01/2008,🕛
Easter Day,03/23/2008,🥚
4th July,07/04/2008,🎆
US Labor Day,09/01/2008,💪
Christmas Day,12/25/2008,🎄
New Years Day,01/01/2009,🕛
Easter Day,04/12/2009,🥚
4th July,07/04/2009,🎆
US Labor Day,09/07/2009,💪
Christmas Day,12/25/2009,🎄
New Years Day,01/01/2010,🕛
Easter Day,04/04/2010,🥚
4th July,07/04/2010,🎆
US Labor Day,09/06/2010,💪
Christmas Day,12/25/2010,🎄
New Years Day,01/01/2011,🕛
Easter Day,04/24/2011,🥚
4th July,07/04/2011,🎆
US Labor Day,09/05/2011,💪
Christmas Day,12/25/2011,🎄
New Years Day,01/01/2012,🕛
Easter Day,04/08/2012,🥚
4th July,07/04/2012,🎆
US Labor Day,09/03/2012,💪
Christmas Day,12/25/2012,🎄
New Years Day,01/01/2013,🕛
Easter Day,03/31/2013,🥚
4th July,07/04/2013,🎆
US Labor Day,09/02/2013,💪
Christmas Day,12/25/2013,🎄
New Years Day,01/01/2014,🕛
Easter Day,04/20/2014,🥚
4th July,07/04/2014,🎆
US Labor Day,09/01/2014,💪
Christmas Day,12/25/2014,🎄
New Years Day,01/01/2015,🕛
Easter Day,04/05/2015,🥚
4th July,07/04/2015,🎆
US Labor Day,09/07/2015,💪
Christmas Day,12/25/2015,🎄
New Years Day,01/01/2016,🕛
Easter Day,03/27/2016,🥚
4th July,07/04/2016,🎆
US Labor Day,09/05/2016,💪
Christmas Day,12/25/2016,🎄
New Years Day,01/01/2017,🕛
Easter Day,04/16/2017,🥚
4th July,07/04/2017,🎆
US Labor Day,09/04/2017,💪
Christmas Day,12/25/2017,🎄
New Years Day,01/01/2018,🕛
Easter Day,04/01/2018,🥚
4th July,07/04/2018,🎆
US Labor Day,09/03/2018,💪
Christmas Day,12/25/2018,🎄
New Years Day,01/01/2019,🕛
Easter Day,04/21/2019,🥚
4th July,07/04/2019,🎆
US Labor Day,09/02/2019,💪
Christmas Day,12/25/2019,🎄
New Years Day,01/01/2020,🕛
Easter Day,04/12/2020,🥚
4th July,07/04/2020,🎆
US Labor Day,09/07/2020,💪
Christmas Day,12/25/2020,🎄
New Years Day,01/01/2021,🕛
Easter Day,04/04/2021,🥚
4th July,07/04/2021,🎆
US Labor Day,09/06/2021,💪
Christmas Day,12/25/2021,🎄
New Years Day,01/01/2022,🕛
Easter Day,04/17/2022,🥚
4th July,07/04/2022,🎆
US Labor Day,09/05/2022,💪
Christmas Day,12/25/2022,🎄
New Years Day,01/01/2023,🕛
Easter Day,04/09/2023,🥚
4th July,07/04/2023,🎆
US Labor Day,09/04/2023,💪
Christmas Day,12/25/2023,🎄
New Years Day,01/01/2024,🕛
Easter Day,03/31/2024,🥚
4th July,07/04/2024,🎆
US Labor Day,09/02/2024,💪
Christmas Day,12/25/2024,🎄
New Years Day,01/01/2025,🕛
Easter Day,04/20/2025,🥚
4th July,07/04/2025,🎆
US Labor Day,09/01/2025,💪
Christmas Day,12/25/2025,🎄
